StockCode,Description,Revenue
DOT,DOTCOM POSTAGE,206248.77
22423,REGENCY CAKESTAND 3 TIER,174156.54
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104284.24
47566,PARTY BUNTING,99445.23
85099B,JUMBO BAG RED RETROSPOT,94159.81
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92
POST,POSTAGE,78119.88
M,Manual,77750.27
23084,RABBIT NIGHT LIGHT,66870.03
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64875.59
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62
79321,CHILLI LIGHTS,54096.36
23298,SPOTTY BUNTING,42513.48
22386,JUMBO BAG PINK POLKADOT,42401.01
